Comment			
voltage(mV)		Control	.+Bup	diff
-80.7113		-158.264	-70.7397	-87.5243
-80.638			-164.388	-76.6601	-87.7279
-80.4061		-173.258	-72.4792	-100.7788
-80.2576		-175.517	-72.3114	-103.2056
-80.1681		-173.116	-73.4863	-99.6297
-80.0175		-166.158	-73.0743	-93.0837
-79.8527		-171.468	-71.2433	-100.2247
-79.7205		-171.326	-72.1435	-99.1825
-79.5699		-167.033	-73.5321	-93.5009
-79.3583		-162.231	-71.0754	-91.1556
-79.3217		-159.871	-73.5168	-86.3542
-79.1162		-161.438	-77.3773	-84.0607
-78.9453		-163.127	-81.5735	-81.5535
-78.8212		-155.66		-81.253		-74.407
-78.7642		-161.784	-78.6438	-83.1402
-78.5913		-162.638	-75.6683	-86.9697
-78.4001		-169.434	-74.7986	-94.6354
-78.2251		-166.585	-78.4912	-88.0938
-78.099			-161.967	-78.4759	-83.4911
-77.9423		-168.396	-79.6661	-88.7299
-77.8792		-168.355	-73.5779	-94.7771
-77.6575		-170.308	-72.8149	-97.4931
-77.4947		-166.626	-65.5823	-101.0437
-77.3889		-167.725	-69.1223	-98.6027
-77.2384		-165.283	-67.6422	-97.6408
-77.0858		-167.501	-68.9087	-98.5923
-76.9637		-165.731	-74.6307	-91.1003
-76.7867		-169.861	-68.8324	-101.0286
-76.6016		-169.657	-76.7212	-92.9358
-76.5243		-171.122	-78.598		-92.524
-76.3513		-163.493	-70.404		-93.089
-76.2394		-162.821	-68.9087	-93.9123
-76.1255		-161.112	-64.3768	-96.7352
-75.977			-161.133	-62.7136	-98.4194
-75.8732		-169.434	-60.8978	-108.5362
-75.6453		-167.053	-65.9485	-101.1045
-75.5375		-166.809	-63.736		-103.073
-75.3381		-151.835	-61.0657	-90.7693
-75.1978		-158.793	-63.6139	-95.1791
-75.0899		-153.768	-64.9109	-88.8571
-74.9719		-157.227	-65.8417	-91.3853
-74.8336		-155.619	-68.9239	-86.6951
-74.683			-149.394	-66.8335	-82.5605
-74.4633		-148.153	-61.9202	-86.2328
-74.3534		-141.276	-68.1		-73.176
-74.152			-149.984	-63.8885	-86.0955
-74.0259		-150.92		-60.9131	-90.0069
-73.9384		-152.486	-63.7817	-88.7043
-73.7939		-147.766	-63.5681	-84.1979
-73.6373		-147.522	-60.5163	-87.0057
-73.4766		-154.643	-64.8346	-89.8084
-73.2772		-158.04		-65.918		-92.122
-73.1917		-150.777	-65.1092	-85.6678
-73.0778		-154.175	-65.3534	-88.8216
-72.8682		-153.87		-66.4978	-87.3722
-72.738			-151.713	-69.397		-82.316
-72.5854		-153.259	-67.5659	-85.6931
-72.4451		-151.388	-64.2242	-87.1638
-72.3067		-150.675	-63.9343	-86.7407
-72.262			-148.661	-63.1256	-85.5354
-71.9629		-160.95		-72.7997	-88.1503
-71.9405		-158.813	-72.5098	-86.3032
-71.7249		-164.429	-69.1376	-95.2914
-71.6374		-165.365	-69.6716	-95.6934
-71.4115		-157.003	-66.1621	-90.8409
-71.3261		-163.696	-70.6787	-93.0173
-71.1898		-158.854	-72.8149	-86.0391
-71.0352		-159.77		-67.8253	-91.9447
-70.8561		-155.375	-61.2183	-94.1567
-70.8053		-148.804	-62.027		-86.777
-70.5347		-150.492	-60.8368	-89.6552
-70.4635		-153.625	-57.9376	-95.6874
-70.3129		-148.58		-56.7932	-91.7868
-70.1318		-143.412	-55.8014	-87.6106
-69.9833		-140.91		-53.6652	-87.2448
-69.8674		-134.623	-53.5889	-81.0341
