time(s)					voltage (mv)	control	SB488	SB488+SB779	diff (TRPV4 current)
0.097					-79.3579	-23.1934	-100.098	-32.3486    -67.7494
0.0975					-79.2847	-22.8882	-106.812	-29.9072    -76.9048
0.098					-79.1748	-23.8037	-104.37		-32.959	    -71.411
0.0985					-79.071		-21.6675	-94.9097	-34.4849    -60.4248
0.099					-78.9917	-25.0244	-103.149	-32.3486    -70.8004
0.0995					-78.8757	-24.7192	-109.253	-30.8228    -78.4302
0.1					-78.7659	-27.771		-96.4355	-32.959	    -63.4765
0.1005					-78.6865	-22.583		-99.4873	-31.1279    -68.3594
0.101					-78.5706	-25.9399	-104.065	-35.4004    -68.6646
0.1015					-78.4546	-24.1089	-101.013	-33.5693    -67.4437
0.102					-78.3508	-24.4141	-105.896	-39.6729    -66.2231
0.1025					-78.2532	-22.2778	-100.403	-34.4849    -65.9181
0.103					-78.1616	-22.8882	-110.168	-33.2642    -76.9038
0.1035					-78.0701	-21.3623	-101.624	-34.1797    -67.4443
0.104					-77.948		-21.3623	-106.506	-35.4004    -71.1056
0.1045					-77.8931	-20.752		-104.065	-35.0952    -68.9698
0.105					-77.7832	-18.6157	-107.117	-35.0952    -72.0218
0.1055					-77.6611	-22.583		-100.708	-30.5176    -70.1904
0.106					-77.5635	-20.752		-103.455	-35.0952    -68.3598
0.1065					-77.4719	-19.5313	-110.168	-33.8745    -76.2935
0.107					-77.3743	-22.2778	-101.929	-32.3486    -69.5804
0.1075					-77.2644	-23.8037	-102.539	-38.147	    -64.392
0.108					-77.1851	-23.1934	-98.877		-38.147	    -60.73
0.1085					-77.0935	-23.1934	-95.2148	-36.9263    -58.2885
0.109					-76.9775	-24.1089	-97.3511	-35.4004    -61.9507
0.1095					-76.8677	-23.1934	-106.201	-32.959	    -73.242
0.11					-76.7761	-18.0054	-104.98		-32.3486    -72.6314
0.1105					-76.6846	-24.4141	-104.675	-30.5176    -74.1574
0.111					-76.5625	-21.6675	-105.591	-30.5176    -75.0734
0.1115					-76.4648	-26.5503	-99.4873	-29.9072    -69.5801
0.112					-76.3794	-26.8555	-90.6372	-34.79	    -55.8472
0.1125					-76.2695	-25.6348	-91.5527	-31.4331    -60.1196
0.113					-76.1963	-23.8037	-91.5527	-32.0435    -59.5092
0.1135					-76.0803	-23.8037	-99.7925	-32.6538    -67.1387
0.114					-75.9766	-26.8555	-95.2148	-35.7056    -59.5092
0.1145					-75.8667	-23.4985	-96.4355	-34.1797    -62.2558
0.115					-75.769		-25.9399	-90.9424	-31.1279    -59.8145
0.1155					-75.6653	-25.6348	-97.6563	-33.5693    -64.087
0.116					-75.5798	-23.8037	-92.7734	-36.3159    -56.4575
0.1165					-75.4883	-22.2778	-96.4355	-37.2314    -59.2041
0.117					-75.3784	-25.6348	-94.6045	-36.0107    -58.5938
0.1175					-75.293		-26.2451	-87.2803	-37.2314    -50.0489
0.118					-75.1831	-24.1089	-87.8906	-35.0952    -52.7954
0.1185					-75.0793	-26.2451	-83.313		-33.5693    -49.7437
0.119					-74.9817	-26.2451	-93.689		-28.3813    -65.3077
0.1195					-74.884		-24.1089	-90.9424	-27.4658    -63.4766
0.12					-74.7803	-21.9727	-93.0786	-36.9263    -56.1523
0.1205					-74.6765	-21.6675	-97.0459	-31.4331    -65.6128
0.121					-74.5972	-25.3296	-100.098	-32.6538    -67.4442
0.1215					-74.4995	-27.1606	-95.52		-32.959	    -62.561
0.122					-74.3713	-27.4658	-86.9751	-33.5693    -53.4058
0.1225					-74.2981	-25.6348	-90.6372	-32.6538    -57.9834
0.123					-74.1882	-26.2451	-86.3647	-31.4331    -54.9316
0.1235					-74.0845	-25.9399	-97.3511	-34.4849    -62.8662
0.124					-73.9929	-23.8037	-93.0786	-32.6538    -60.4248
0.1245					-73.8953	-24.1089	-89.7217	-29.6021    -60.1196
0.125					-73.7732	-27.771		-92.1631	-29.2969    -62.8662
0.1255					-73.7		-25.9399	-92.1631	-31.1279    -61.0352
0.126					-73.5779	-22.2778	-96.1304	-33.8745    -62.2559
0.1265					-73.468		-20.752		-102.844	-32.6538    -70.1902
0.127					-73.3826	-24.4141	-105.896	-33.2642    -72.6318
0.1275					-73.2727	-23.1934	-97.3511	-36.6211    -60.73
0.128					-73.175		-25.9399	-86.6699	-32.6538    -54.0161
0.1285					-73.0774	-25.6348	-84.5337	-33.2642    -51.2695
0.129					-72.9675	-24.1089	-84.2285	-32.0435    -52.185
